,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
286,house bill would make world cup funds contingent on equal pay,positive_surprise,"[[""funds contingent on equal pay"",""world cup funds contingent on equal pay""]]",funds contingent on equal pay,7,11,10
1661,former bush adviser: senate should reject stephen moore,anger,"[[""senate should reject stephen moore""]]",senate should reject stephen moore,5,12,0
3687,daughter-in-law of opera singer plácido domingo reveals scientology celeb secrets,negative_surprise,"[[""opera singer plácido domingo reveals scientology celeb secrets""]]",opera singer plácido domingo reveals scientology celeb secrets,7,25,8
453,"jealous massachusetts teen found guilty of killing, beheading classmate",guilt,"[[""killing, beheading classmate"",""found guilty of killing, beheading classmate""]]","killing, beheading classmate",10,15,4
2999,bangladesh keep hopes alive as shakib al hasan sinks afghanistan,positive_anticipation_including_optimism,"[[""shakib al hasan sinks afghanistan""]]",shakib al hasan sinks afghanistan,8,18,9
1787,"two arrested in north 35th street fatal shooting that resulted from family feud, baton rouge police say",negative_surprise,"[[""family""]]",family,12,12,8
1269,germaphobe-in-chief makes his body guard carry around hand sanitizer,fear,"[[""makes his body guard carry around hand sanitizer""]]",makes his body guard carry around hand sanitizer,10,20,3
4073,"in hong kong, common sense keeps lives safe in a typhoon",annoyance,"[[""common sense keeps lives safe in a typhoon""]]",common sense keeps lives safe in a typhoon,7,14,1
3276,"a pregnant woman in alabama was shot in the stomach and miscarried. now, alabama cops are charging her with manslaughter.",negative_surprise,"[[""was shot in the stomach and miscarried""]]",was shot in the stomach and miscarried,8,16,8
1687,jerks landed a helicopter on california's wildflower super bloom,guilt,"[[""helicopter on california's wildflower super bloom""]]",helicopter on california's wildflower super bloom,5,18,4
1885,myanmar frees pulitzer-winning reuters journalists after more than 500 days,positive_surprise,"[[""frees pulitzer-winning reuters journalists after more than 500 days""]]",frees pulitzer-winning reuters journalists after more than 500 days,4,18,10
2611,bomb targets tourist bus in egypt,negative_surprise,"[[""bomb targets tourist bus""]]",bomb targets tourist bus,1,4,8
2182,"zambia cuts malaria fatalities, but not the number of cases",positive_anticipation_including_optimism,"[[""cuts malaria fatalities, but not the number of cases""]]","cuts malaria fatalities, but not the number of cases",4,13,9
4414,"iran, afghanistan ink pact to boost nuke production",fear,"[[""ink pact to boost nuke production"",""pact to boost nuke production""]]",ink pact to boost nuke production,8,14,3
2861,teflon toxin safety level should be 700 times lower than current epa guideline,negative_surprise,"[[""teflon toxin safety level should be 700 times lower than current epa guideline"",""700 times lower than current epa guideline""]]",teflon toxin safety level should be 700 times lower than current epa guideline,1,18,8
1897,radical islamists have opened a new front in mali,negative_anticipation_including_pessimism,"[[""have opened a new front in mali""]]",have opened a new front in mali,5,12,7
246,a parrot named freddy krueger is alive and well after a 4-year nightmare,positive_surprise,"[[""freddy krueger""]]",freddy krueger,5,10,10
4535,california tried to fix its prisons. now county jails are more deadly.,negative_surprise,"[[""now county jails are more deadly""]]",now county jails are more deadly,12,18,8
3648,"yg shooting: rapper's bulletproof escalade is tied to wild gun battle, police pursuit, and compton killing",fear,"[[""police pursuit,""]]","police pursuit,",20,22,3
3827,an entire school learned sign language to welcome a deaf kindergartener,joy,"[[""entire school learned sign language to welcome a deaf kindergartener""]]",entire school learned sign language to welcome a deaf kindergartener,2,12,5
3156,gottheimer (d) faces progressive backlash over border vote,anger,"[[""faces progressive backlash over border vote""]]",faces progressive backlash over border vote,8,14,0
1397,daughter of army vet who died at dominican resort: funeral home 'pressured' me to make a decision about my father's remains,sadness,"[[""to make a decision about my father's remains""]]",to make a decision about my father's remains,21,30,12
4079,kindergarten teacher detained after allegedly poisoning 23 children,sadness,"[[""teacher detained after allegedly poisoning 23 children""]]",teacher detained after allegedly poisoning 23 children,2,8,12
2115,friends mourn baton rouge photographer slain by truck; remembered as 'one of the most genuine people',sadness,"[[""remembered as 'one of the most genuine people'"",""slain by truck""]]",remembered as 'one of the most genuine people',15,24,12
85,mark zuckerberg says the supreme court of facebook is coming soon,annoyance,"[[""supreme court of facebook is coming soon""]]",supreme court of facebook is coming soon,7,14,1
2238,ap fact check: trump distorts findings of russia probe,anger,"[[""trump distorts findings of russia probe""]]",trump distorts findings of russia probe,6,16,0
335,the corporate campaign to kill bernie’s medicare for all bill is here,negative_surprise,"[[""the corporate campaign to kill bernie’s medicare for all bill is here""]]",the corporate campaign to kill bernie’s medicare for all bill is here,1,18,8
3715,hitchhiker wearing bloody clothes arrested in man's stabbing death,guilt,"[[""wearing bloody clothes arrested in man's stabbing death""]]",wearing bloody clothes arrested in man's stabbing death,5,14,4
2378,“responsible conservatives” won’t save us from fascism,anger,"[[""won’t save us from fascism"",""“responsible conservatives” won’t save us from fascism""]]",won’t save us from fascism,6,13,0
179,trump gets an ‘f’ for libya,anger,"[[""‘f’ for libya""]]",‘f’ for libya,5,11,0
3077,holocaust survivor eva kor dies at age 85,sadness,"[[""holocaust survivor eva kor dies""]]",holocaust survivor eva kor dies,1,10,12
1216,utah man dies on everest after reaching goal of climbing each continent's tallest mountain,sadness,"[[""reaching goal of climbing each continent's tallest mountain""]]",reaching goal of climbing each continent's tallest mountain,9,18,12
3815,‘it was not a fluke event’: alabama sen. doug jones lays out how democrats can win in 2020,positive_anticipation_including_optimism,"[[""lays out how democrats can win in 2020""]]",lays out how democrats can win in 2020,21,29,9
3154,gay sex is now punishable by stoning to death in brunei,negative_surprise,"[[""gay sex is now punishable by stoning to death""]]",gay sex is now punishable by stoning to death,1,12,8
2724,donald trump doesn’t have a prayer,negative_surprise,"[[""doesn’t have a prayer""]]",doesn’t have a prayer,5,10,8
21,europe’s dream: escaping the dictatorship of the dollar,positive_anticipation_including_optimism,"[[""escaping the dictatorship of the dollar""]]",escaping the dictatorship of the dollar,7,12,9
2322,"ocasio-cortez calls out steve king, liz cheney amid controversy over concentration camp remarks",anger,"[[""controversy over concentration camp remarks""]]",controversy over concentration camp remarks,21,25,0
955,dc comics sends cease and desist over alexandria ocasio-cortez comic book cover,positive_anticipation_including_optimism,"[[""comic book cover""]]",comic book cover,21,23,9
1194,trump hails african-american contributions to america amid battle with black critics,positive_anticipation_including_optimism,"[[""contributions to america amid battle with black critics""]]",contributions to america amid battle with black critics,13,22,9
385,3 things to watch in the first special election primary of the year,sadness,"[[""the year""]]",the year,12,13,12
180,trump is getting dangerously close to war with iran,negative_anticipation_including_pessimism,"[[""war with iran""]]",war with iran,8,11,7
4212,black hole given the hawaiian name ‘powehi.’ here’s what that means,positive_surprise,"[[""given the hawaiian name ‘powehi.’""]]",given the hawaiian name ‘powehi.’,3,15,10
2437,trump didn't call neo-nazis 'fine people.' here's proof,trust,"[[""'fine people.' here's proof""]]",'fine people.' here's proof,12,20,14
3250,"u.s. eyes plans to cut diplomatic staff in afghanistan, iraq",negative_surprise,"[[""diplomatic staff in afghanistan, iraq""]]","diplomatic staff in afghanistan, iraq",9,19,8
4362,wow: cnn's tapper actually questions cory booker on effectiveness of his gun control plan,positive_surprise,"[[""effectiveness of his gun control plan""]]",effectiveness of his gun control plan,17,22,10
1892,powerlifter lifts 2-ton suv off man trapped underneath,joy,"[[""trapped underneath""]]",trapped underneath,12,13,5
561,what it's like to go through a gang initiation,sadness,"[[""gang initiation""]]",gang initiation,10,11,12
545,trump administration drafting plan to allow drug imports from canada,positive_anticipation_including_optimism,"[[""allow drug imports from canada"",""plan to allow drug imports from canada""]]",allow drug imports from canada,7,12,9
3142,"donate this week, get a free book",positive_surprise,"[[""get a free book""]]",get a free book,5,8,10
3856,millions of voters are missing in india,sadness,"[[""of voters are missing in india""]]",of voters are missing in india,2,8,12
4250,mollie hemingway has the ‘good news for ralph northam’ after his ‘absurd statement’ about investigation of old yearbook,positive_surprise,"[[""after his ‘absurd statement’ about investigation of old yearbook""]]",after his ‘absurd statement’ about investigation of old yearbook,19,30,10
3844,fox news’ chris wallace sets record straight: russia investigation did not start with trump dossier,annoyance,"[[""russia investigation did not start with trump dossier""]]",russia investigation did not start with trump dossier,12,24,1
4491,"glastonbury: thank you for going plastic-free, says attenborough",joy,"[[""going plastic-free, says attenborough""]]","going plastic-free, says attenborough",9,17,5
3982,buffett urges wells to look beyond wall st for next chief,positive_anticipation_including_optimism,"[[""to look beyond wall st for next chief""]]",to look beyond wall st for next chief,6,14,9
595,"kamala harris responds to alabama abortion ban by raising $160,000 for pro-choice groups",positive_surprise,"[[""abortion ban by raising $160,000 for pro-choice groups""]]","abortion ban by raising $160,000 for pro-choice groups",12,24,10
4921,u.s. judge suspends blackstone lawsuit against italy’s rcs over milan hq,guilt,"[[""suspends blackstone lawsuit against italy’s rcs over milan hq""]]",suspends blackstone lawsuit against italy’s rcs over milan hq,6,23,4
2771,donald trump’s two-front trade war just took a turn for the worse,negative_surprise,"[[""two-front trade war just took a turn for the worse""]]",two-front trade war just took a turn for the worse,7,18,8
4356,viral video of pope francis rejecting kisses from the faithful raises questions,annoyance,"[[""from the faithful raises questions""]]",from the faithful raises questions,10,14,1
3245,trump throws gauntlet down to media: i want you to see detention centers,anger,"[[""i want you to see detention centers""]]",i want you to see detention centers,11,17,0
2741,"america’s farmers, reeling from floods, face a new problem: no water",negative_surprise,"[[""reeling from floods, face a new problem: no water""]]","reeling from floods, face a new problem: no water",8,19,8
130,sally yates: trump would be indicted on obstruction of justice if he were not president,shame,"[[""obstruction of justice""]]",obstruction of justice,12,16,13
2584,theresa may offers academic roger scruton his old job back after false allegations,negative_surprise,"[[""his old job back after false allegations""]]",his old job back after false allegations,13,19,8
4542,congress scraps provision to restrict irs from competing with turbotax,negative_surprise,"[[""provision to restrict irs from competing with turbotax"",""competing with turbotax""]]",provision to restrict irs from competing with turbotax,4,15,8
568,‘heartbreaking’: sandy hook father dies in apparent suicide,sadness,"[[""sandy hook father dies in apparent suicide""]]",sandy hook father dies in apparent suicide,7,13,12
4127,"stateless in africa: why 700,000 have their 'dreams ended'",sadness,"[[""700,000 have their 'dreams ended'""]]","700,000 have their 'dreams ended'",9,17,12
173,this medical school in japan uses facial recognition for attendance,negative_surprise,"[[""uses facial recognition for attendance""]]",uses facial recognition for attendance,8,12,8
2224,‘i’ve been through some painful experiences’ – sheryl crow on #metoo and michael jackson,sadness,"[[""been through some painful experiences""]]",been through some painful experiences,5,9,12
4661,dozens of business leaders advocate abortion access: ‘don’t ban equality’,positive_surprise,"[[""advocate abortion access: ‘don’t ban equality’""]]",advocate abortion access: ‘don’t ban equality’,5,15,10
1598,‘screwed’: trump says dnc ‘working its magic in quest to destroy crazy bernie sanders’,negative_anticipation_including_pessimism,"[[""its magic in quest to destroy""]]",its magic in quest to destroy,12,17,7
707,doctors find differences in brains of u.s. diplomats who alleged mystery attacks in cuba,positive_surprise,"[[""find differences in brains of u.s. diplomats who alleged mystery attacks in cuba""]]",find differences in brains of u.s. diplomats who alleged mystery attacks in cuba,2,19,10
1679,instant opinion: ‘boris johnson is utterly unfit to be prime minister’,negative_surprise,"[[""unfit to be prime""]]",unfit to be prime,12,16,8
3379,republicans run for cover as trump pushes health care,annoyance,"[[""pushes health care""]]",pushes health care,9,11,1
3013,nucor plans to build $1.35 bln steel mill in kentucky,positive_anticipation_including_optimism,"[[""build $1.35 bln steel mill in kentucky""]]",build $1.35 bln steel mill in kentucky,6,19,9
2039,"as the debate dust settles, democratic primary is looking primed for a shake-up",fear,"[[""is looking primed for a shake-up"",""democratic primary is looking primed for a shake-up""]]",is looking primed for a shake-up,10,18,3
3464,cafeteria worker fired for giving student free food gets job offer from celebrity chef,positive_surprise,"[[""free food gets job offer from celebrity chef"",""giving student free food gets job offer from celebrity chef""]]",free food gets job offer from celebrity chef,7,14,10
3558,it may take 2 more years to end congo ebola outbreak,negative_anticipation_including_pessimism,"[[""end congo ebola outbreak""]]",end congo ebola outbreak,8,14,7
1644,dnc raises the bar for democrats to qualify for third primary debate,positive_surprise,"[[""dnc raises the bar for democrats to qualify for third primary debate""]]",dnc raises the bar for democrats to qualify for third primary debate,1,14,10
2644,mexican chef ricardo munoz zurita posts a video of a fish with plastic inside its gut,disgust,"[[""posts a video of a fish with plastic inside its gut""]]",posts a video of a fish with plastic inside its gut,13,23,2
1134,senate republicans feel ‘urgency’ to do something about health care — again,positive_surprise,"[[""feel ‘urgency’ to do something about health care — again""]]",feel ‘urgency’ to do something about health care — again,4,15,10
3597,rescued hiker: 'it came down to life and death and i had to chose',fear,"[[""'it came down to life and death and i had to chose'""]]",'it came down to life and death and i had to chose',5,18,3
498,real-life spider-man scales 15 floors to save mother from fire,positive_surprise,"[[""scales 15 floors to save mother from fire"",""real-life spider-man scales 15 floors to save mother from fire""]]",scales 15 floors to save mother from fire,7,14,10
2119,"kyoto animation studio arson kills 33, shocking japan",sadness,"[[""kills 33, shocking japan""]]","kills 33, shocking japan",8,14,12
3896,we’re launching a paid work placement initiative for culturally diverse graduates,joy,"[[""initiative for culturally diverse graduates""],[""paid work placement initiative""],[""initiative""],[""launching a paid work placement initiative""]]",initiative for culturally diverse graduates,9,13,5
3519,celebrations as puerto rico governor rosselló resigns,negative_surprise,"[[""celebrations as puerto rico governor rosselló resigns""]]",celebrations as puerto rico governor rosselló resigns,1,14,8
1989,"leader of militia group allegedly talked of assassination training for obama, clinton",negative_surprise,"[[""allegedly talked of assassination training for obama, clinton""]]","allegedly talked of assassination training for obama, clinton",5,17,8
4782,trump feels 'badly' for resigning british pm theresa may,sadness,"[[""resigning british pm theresa may"",""for resigning british pm theresa may""]]",resigning british pm theresa may,8,16,12
2513,extinction rebellion climate change protests cost police at least £7m,fear,"[[""protests cost police at least £7m""]]",protests cost police at least £7m,5,12,3
677,ben carson admits that black americans are struggling in trump’s economy,negative_surprise,"[[""are struggling in trump’s economy""]]",are struggling in trump’s economy,10,17,8
4436,the north pole continues to shrink,sadness,"[[""the north pole continues to shrink"",""north pole continues to shrink""]]",the north pole continues to shrink,1,6,12
4649,us officials express optimism negotiations with iran possible,positive_anticipation_including_optimism,"[[""negotiations with iran possible""]]",negotiations with iran possible,7,11,9
1205,trump: 2 years of my term were ‘stollen’,sadness,"[[""2 years of my term were ‘stollen’""]]",2 years of my term were ‘stollen’,4,14,12
2988,firefighter ran 18 miles on broken foot in london marathon,pride,"[[""ran 18 miles on broken foot in london marathon""]]",ran 18 miles on broken foot in london marathon,3,12,11
4415,kamala harris just said we’re “probably” facing a constitutional crisis,fear,"[[""we’re “probably” facing a constitutional crisis""]]",we’re “probably” facing a constitutional crisis,9,18,3
3104,activist ady barkan’s illness took his ability to speak — but he’s still testifying at congress to pass medicare for all,positive_anticipation_including_optimism,"[[""took his ability to speak — but he’s still testifying at congress to pass medicare for all"",""he’s still testifying at congress to pass medicare for all""]]",took his ability to speak — but he’s still testifying at congress to pass medicare for all,9,30,9
3714,here’s what ben franklin teaches us about impeaching donald trump,negative_anticipation_including_pessimism,"[[""here’s what ben franklin teaches us about impeaching donald trump""]]",here’s what ben franklin teaches us about impeaching donald trump,1,18,7
3594,"refugees need not be a burden, if they are allowed to work",positive_anticipation_including_optimism,"[[""need not be a burden, if they are allowed to work""]]","need not be a burden, if they are allowed to work",2,13,9
2839,"pelosi, aoc clash over reach of progressives’ influence",negative_surprise,"[[""reach of""]]",reach of,9,10,8
415,donald trump joins shannon airport hall of fame,joy,"[[""joins shannon airport hall of fame""]]",joins shannon airport hall of fame,5,12,5
4083,long beach woman killed when stray bullet enters her home,sadness,"[[""stray bullet enters her home""]]",stray bullet enters her home,6,10,12
2274,"elton john blasts brexit: 'i am a european – not a stupid, imperialist english idiot'",anger,"[[""not a stupid, imperialist english idiot"",""'i am a european – not a stupid, imperialist english idiot'""]]","not a stupid, imperialist english idiot",20,29,0
25,five numbers that explain us border crisis,sadness,"[[""five numbers that explain us border crisis"",""us border crisis""]]",five numbers that explain us border crisis,1,7,12
1521,ted cruz and alexandria ocasio-cortez join push for over-the-counter birth control,joy,"[[""over-the-counter birth control""]]",over-the-counter birth control,21,27,5
1175,theresa may is hilariously bad at her job,shame,"[[""is hilariously bad at her job""]]",is hilariously bad at her job,4,11,13
2979,zoe the police dog sniffs out 2 missing girls in ontarioand#039;s algonquin park,positive_surprise,"[[""s algonquin park""]]",s algonquin park,22,26,10
4620,trump: white house lawyer emmet flood 'will be leaving service on june 14th',negative_surprise,"[[""will be leaving service on june 14th""]]",will be leaving service on june 14th,11,18,8
121,republican rebellion over mexico tariffs overshadows trump’s european visit,negative_surprise,"[[""overshadows trump’s european visit""]]",overshadows trump’s european visit,10,20,8
1805,a case for civic splendor: notes on the city beautiful movement,joy,"[[""notes on the city beautiful movement""]]",notes on the city beautiful movement,10,15,5
4458,"defend the post office, defend black workers",positive_surprise,"[[""defend black workers""]]",defend black workers,6,8,10
1041,kentucky legislature passes bill stripping grimes of authority over state board of elections,joy,"[[""passes bill stripping grimes of authority over state board of elections""]]",passes bill stripping grimes of authority over state board of elections,6,18,5
2614,clinics that serve pregnant moms get millions of dollars under new hhs family planning rule,positive_surprise,"[[""millions of dollars under new hhs family planning rule""]]",millions of dollars under new hhs family planning rule,8,17,10
1341,'biggest fight is against the clock' as death toll rises from cyclone idai,negative_surprise,"[[""as death toll rises from cyclone idai""]]",as death toll rises from cyclone idai,9,16,8
4615,trump doubles down on plan to release migrants in sanctuary cities,negative_surprise,"[[""release migrants""]]",release migrants,8,9,8
2837,"ocasio-cortez peddles extreme fear over climate change, despite facts from scientists",fear,"[[""climate""]]",climate,14,14,3
2886,trump attempted to suppress state dept. analyst’s testimony on climate crisis,negative_surprise,"[[""testimony on climate crisis""]]",testimony on climate crisis,13,16,8
3414,trump pushes out head of largest immigration agency — and wants ken cuccinelli instead,anger,"[[""immigration agency — and wants ken cuccinelli instead""]]",immigration agency — and wants ken cuccinelli instead,8,19,0
2628,"harris unveils plan to revamp infrastructure, ensure access to clean water",positive_anticipation_including_optimism,"[[""ensure access to clean water""]]",ensure access to clean water,14,18,9
2876,the surprising new effect of trump’s immigration crackdown,negative_surprise,"[[""new effect of trump’s immigration crackdown""]]",new effect of trump’s immigration crackdown,3,12,8
3181,more americans say jews face discrimination in the united states,disgust,"[[""the united""]]",the united,11,12,2
292,i’ve spent decades talking to parents about vaccines. it’s time for a change.,positive_surprise,"[[""talking to parents about vaccines. it’s time for a change.""]]",talking to parents about vaccines. it’s time for a change.,6,20,10
814,r. kelly protegee says she's ready to testify against him again as new alleged underage sex tape surfaces,trust,"[[""new alleged underage sex tape surfaces""]]",new alleged underage sex tape surfaces,19,25,14
16,elizabeth warren lays out a theory of change at first democratic debate,positive_surprise,"[[""theory of change at first democratic debate"",""lays out a theory of change at first democratic debate""]]",theory of change at first democratic debate,9,15,10
3071,"wear it loud, wear it proud: how logomania got back in fashion",pride,"[[""wear it loud, wear it proud: how logomania got back in fashion""]]","wear it loud, wear it proud: how logomania got back in fashion",1,16,11
1990,leon panetta: trump’s foreign 'dirt' comments are a ‘violation of the oath of office’,disgust,"[[""trump’s foreign 'dirt' comments are a ‘violation of the oath of office’""]]",trump’s foreign 'dirt' comments are a ‘violation of the oath of office’,6,24,2
1236,‘ridiculous example of a human’: angel dad blasts ocasio-cortez,disgust,"[[""angel dad blasts ocasio-cortez""]]",angel dad blasts ocasio-cortez,9,19,2
2220,"global meat-eating is on the rise, bringing surprising benefits",positive_surprise,"[[""bringing surprising benefits""]]",bringing surprising benefits,10,12,10
4199,donald trump announces effort to improve private expansion of 5g: 'america must win',positive_anticipation_including_optimism,"[[""'america must win'""]]",'america must win',15,21,9
3993,"column: in tiny oildale, the local barber, a trump fan, has had it with california",negative_surprise,"[[""has had it with california""]]",has had it with california,18,26,8
1757,supreme court justice beer will be teaching a summer course in england. won't that be fun.,negative_surprise,"[[""will be teaching a summer course in england. won't that be fun.""]]",will be teaching a summer course in england. won't that be fun.,5,22,8
661,alabama congressman quotes mein kampf to criticize democrats and the media,disgust,"[[""criticize democrats and the media"",""quotes mein kampf to criticize democrats and the media""]]",criticize democrats and the media,13,19,2
4696,"single mom makes plea for electricity on twitter, gets over 100 times the amount asked",positive_surprise,"[[""100 times the amount asked""]]",100 times the amount asked,14,18,10
1367,assailants attacked an ebola treatment center in congo — again. it’s a major setback.,fear,"[[""an ebola treatment center""]]",an ebola treatment center,5,10,3
1503,raw data: workers earning minimum wage,disgust,"[[""workers earning minimum wage""]]",workers earning minimum wage,4,7,2
4603,the billionaire and the mayor disrupting taiwan’s elections,negative_surprise,"[[""taiwan’s elections"",""disrupting taiwan’s elections""]]",taiwan’s elections,8,13,8
4745,"ex-headteacher, 65, stricken by motor neurone disease prepares to end his life at dignitas",sadness,"[[""prepares to end his life at dignitas""]]",prepares to end his life at dignitas,15,23,12
1932,uc admits largest and most diverse class ever of californian freshmen,joy,"[[""diverse class ever of californian freshmen""],[""largest and most diverse class ever""]]",diverse class ever of californian freshmen,7,17,5
3970,"australian man takes a piss in his backyard, triggers a radiation alert",negative_surprise,"[[""triggers a radiation alert"",""takes a piss in his backyard, triggers a radiation alert""]]",triggers a radiation alert,12,16,8
3388,sport shorts: andy murray and serena williams form wimbledon dream team,joy,"[[""wimbledon dream team""]]",wimbledon dream team,16,21,5
2003,"actor on colbert: president trump 'makes me so angry, he makes me horny'",anger,"[[""makes me so angry, he makes me horny'""]]","makes me so angry, he makes me horny'",10,20,0
2065,"after 7 years in a hawaiian shelter, this dog finally finds a home in michigan",joy,"[[""finally finds a home in michigan""]]",finally finds a home in michigan,13,20,5
1505,republicans plan to rig elections for a decade,positive_anticipation_including_optimism,"[[""rig elections for a decade""]]",rig elections for a decade,5,9,9
2805,"joshua schulte, alleged cia leaker, made 'catastrophic' impact with wikileaks disclosures: doj",negative_surprise,"[[""made 'catastrophic' impact with wikileaks disclosures: doj""]]",made 'catastrophic' impact with wikileaks disclosures: doj,15,29,8
3510,a better address can change a child’s future,positive_anticipation_including_optimism,"[[""a better address can change a child’s future""]]",a better address can change a child’s future,1,10,9
2548,no longer does al-qaida grab the headlines. that might be the plan | jason burke,fear,"[[""that might be the plan""]]",that might be the plan,13,17,3
789,nato chief plays down divisions as allies mark anniversary,negative_surprise,"[[""allies mark anniversary""]]",allies mark anniversary,8,10,8
530,the youngest known child separated from his family by the trump administration,annoyance,"[[""Separated From His Family by the Trump Administration""]]",separated from his family by the trump administration,5,13,1
674,barr makes no apology for handling of special counsel report,annoyance,"[[""handling of special counsel report""]]",handling of special counsel report,7,11,1
3059,trade war won't kill small business - it'll make it stronger,positive_anticipation_including_optimism,"[[""it'll make it stronger""]]",it'll make it stronger,10,15,9
4999,couple infuriate officials by landing their helicopter in the middle of a california nature reserve,anger,"[[""landing their helicopter in the middle of a California nature reserve""]]",landing their helicopter in the middle of a california nature reserve,8,22,0
3008,hogan gidley: mcaleenan will do 'great job' as nielsen's replacement,positive_anticipation_including_optimism,"[[""will do 'great job' as nielsen's replacement"",""mcaleenan will do 'great job' as nielsen's replacement""]]",will do 'great job' as nielsen's replacement,10,22,9
676,"before aoc, there was the spd",positive_surprise,"[[""there was the spd""]]",there was the spd,5,10,10
1335,‘italy’s trump’ launches a nationalist campaign to destroy europe,negative_surprise,"[[""launches a nationalist campaign to destroy europe""]]",launches a nationalist campaign to destroy europe,9,16,8
1939,“game of thrones” leaned hard into fan service—and it totally worked,positive_surprise,"[[""leaned hard into fan service—and it totally worked""]]",leaned hard into fan service—and it totally worked,7,16,10
606,secret emails allegedly show facebook knew about cambridge analytica scandal earlier than admitted,annoyance,"[[""cambridge analytica scandal earlier than admitted""]]",cambridge analytica scandal earlier than admitted,9,18,1
4108,overworking kills more than 300 poll staff,sadness,"[[""more than 300 poll staff""],[""overworking""]]",more than 300 poll staff,4,8,12
4773,stop polluting our green new deal,sadness,"[[""stop polluting our green new deal""]]",stop polluting our green new deal,1,8,12
4176,left completely misses the point of frederick douglass’s speech about independence day,negative_surprise,"[[""speech about independence day""]]",speech about independence day,15,18,8
3855,meghan markle’s first major post-baby outing at trooping the colour 2019 looked like a lot of fun,joy,"[[""post-baby outing at trooping the colour 2019 looked like a lot of fun""]]",post-baby outing at trooping the colour 2019 looked like a lot of fun,9,25,5
643,trump tells democratic congresswomen to ‘go back’ to ‘fix’ countries they came from,disgust,"[[""tells democratic congresswomen to ‘go back’ to ‘fix’ countries they came from""]]",tells democratic congresswomen to ‘go back’ to ‘fix’ countries they came from,3,20,2
3639,van with $140m of drugs crashes into police car in sydney,negative_surprise,"[[""van with $140m of drugs crashes into police car in sydney"",""crashes into police car in sydney""]]",van with $140m of drugs crashes into police car in sydney,1,15,8
396,atheist group complains 'god bless america' is said at elementary school after daily pledge. district quickly falls in line.,disgust,"[[""'god bless america' is said at elementary school after daily pledge. district quickly falls in line.""]]",'god bless america' is said at elementary school after daily pledge. district quickly falls in line.,6,28,2
4850,tories threaten to defect to farage's party if johnson fails to deliver brexit,negative_anticipation_including_pessimism,"[[""to defect to farage's party if johnson fails to deliver brexit""]]",to defect to farage's party if johnson fails to deliver brexit,4,21,7
3606,street clashes erupt as venezuela's guaido urges uprising,anger,"[[""street clashes erupt as venezuela's guaido urges uprising""]]",street clashes erupt as venezuela's guaido urges uprising,1,17,0
1579,"wapo: trump tax cut capped salt deductions, and you won’t believe what happened next",negative_surprise,"[[""Trump tax cut""]]",trump tax cut,4,7,8
4961,eu hits qualcomm with €242m fine over pricing,negative_surprise,"[[""qualcomm with €242m fine over pricing""]]",qualcomm with €242m fine over pricing,4,15,8
1323,"vatican women magazine’s founder and editorial board quit, claim vatican tried to discredit them",fear,"[[""vatican tried to discredit them""]]",vatican tried to discredit them,15,23,3
34,"getting 'california sober' showed me a kinder, gentler way to do drugs",positive_surprise,"[[""showed me a kinder, gentler way to do drugs""]]","showed me a kinder, gentler way to do drugs",10,21,10
2157,michael moore rips democrats for putting faith in 'frail old man' robert mueller,anger,"[[""putting faith in 'frail old man' robert mueller"",""democrats for putting faith in 'frail old man' robert mueller""]]",putting faith in 'frail old man' robert mueller,12,25,0
1374,"brickbat: it's a gas, gas, gas",negative_surprise,"[[""brickbat: it's a gas, gas, gas""]]","brickbat: it's a gas, gas, gas",1,12,8
3988,charlize theron discusses that time rihanna trolled her with a t-shirt,shame,"[[""that time rihanna trolled her with a t-shirt""]]",that time rihanna trolled her with a t-shirt,8,20,13
4233,"if we cancel kate smith, we must cancel the new york yankees",negative_anticipation_including_pessimism,"[[""we must cancel the new york yankees""]]",we must cancel the new york yankees,9,18,7
4189,the us has some of the worst gun violence in the world. amnesty international wants the government to give reparations to victims.,shame,"[[""the us has some of the worst gun violence in the world""]]",the us has some of the worst gun violence in the world,1,12,13
3103,21 questions to ask robert mueller if he testifies to congress,positive_anticipation_including_optimism,"[[""21 questions to ask robert mueller if he testifies to congress""]]",21 questions to ask robert mueller if he testifies to congress,1,15,9
1312,the serial golf cheat in the white house,anger,"[[""cheat in the white house""]]",cheat in the white house,4,8,0
2450,"'disrupter' katie couric: it's 'ridiculous' women don't do half the news, win half the oscars",disgust,"[[""don't do half the news, win half the oscars"",""women don't do half the news, win half the oscars""]]","don't do half the news, win half the oscars",18,31,2
3141,donald trump opens his mouth and sends the stock market tumbling,negative_surprise,"[[""sends the stock market tumbling""]]",sends the stock market tumbling,9,13,8
2512,"even in defeat, isis' ideology inspires mass murder",fear,"[[""mass murder""]]",mass murder,11,12,3
3602,sri lanka attacks highlight growing worldwide persecution of christians,sadness,"[[""growing worldwide persecution of christians""]]",growing worldwide persecution of christians,7,13,12
2088,"london bridge was like a war zone, says fiance of terror attack victim",negative_surprise,"[[""london bridge was like a war zone"",""says fiance of terror attack victim""]]",london bridge was like a war zone,1,8,8
1617,"august wti oil down 84 cents, or 1.5%, to settle at $56.78/bbl",negative_surprise,"[[""august wti oil down 84 cents, or 1.5%, to settle at $56.78/bbl""]]","august wti oil down 84 cents, or 1.5%, to settle at $56.78/bbl",1,27,8
