,headline,dominant_emotion,cause,cause_span,start_index,end_index
1713,nra picks new interim head of lobbying arm,positive_surprise,"[[""picks new interim""]]",picks new interim,3,5
1833,dem rep. goes on morning joe to complain media are 'agents of the republican party',annoyance,"[[""are 'agents of the republican party'""]]",are 'agents of the republican party',13,20
510,some drug groups are still pushing triple-digit price rises,negative_anticipation_including_pessimism,"[[""still pushing triple-digit price rises""]]",still pushing triple-digit price rises,5,11
4287,"trump is upset james woods, paul watson deplatformed",anger,"[[""deplatformed""]]",deplatformed,14,17
2199,trump brands london mayor a 'disaster',anger,"[[""london mayor a 'disaster'""],[""brands london mayor a""]]",london mayor a 'disaster',4,10
1828,cricket world cup: reserve day row after yet another washout,positive_surprise,"[[""reserve day row after yet another washout"",""cricket world cup: reserve day row after yet another washout""]]",reserve day row after yet another washout,5,12
3432,we’ve seen the debates–and what could be our future,negative_anticipation_including_pessimism,"[[""and what could be our future""]]",and what could be our future,8,13
580,"david ortiz shooting was case of mistaken identity, attorney general says",shame,"[[""shooting was case of mistaken identity, attorney general says"",""david ortiz shooting was case of mistaken identity""]]","shooting was case of mistaken identity, attorney general says",6,15
3512,"after inf treaty’s demise, u.s. seeks funds for missile tests",negative_anticipation_including_pessimism,"[[""seeks funds for missile tests""]]",seeks funds for missile tests,13,17
686,brian williams interrupts barr hearing to call lindsey graham a liar,fear,"[[""interrupts barr hearing to call lindsey graham a liar""]]",interrupts barr hearing to call lindsey graham a liar,6,20
1572,us diplomat cites iran threat over saudi arms sales,fear,"[[""saudi arms sales"",""threat over saudi arms sales""]]",saudi arms sales,8,11
4676,iran announces another move that could mean it’s closer to nuclear capabilities,positive_surprise,"[[""could mean it’s closer to nuclear capabilities""]]",could mean it’s closer to nuclear capabilities,7,15
4825,usda says it will save $20m a year by moving researchers to kansas city. critics say it’s all politics.,positive_anticipation_including_optimism,"[[""moving researchers to kansas city""]]",moving researchers to kansas city,13,19
2278,far-left arsonists burn conservative activist’s dorm room at tulane university…the scoop,anger,"[[""conservative activist’s dorm room at tulane university…the scoop""]]",conservative activist’s dorm room at tulane university…the scoop,8,23
3028,california snowpack 202% of average for this time of year,positive_surprise,"[[""time of year""]]",time of year,14,16
2690,from occupy to aoc: the rise of the new progressives,joy,"[[""the rise of the new progressives""]]",the rise of the new progressives,7,13
1370,biden unveils health plan doubling down on the afforable care act,positive_anticipation_including_optimism,"[[""unveils health plan doubling down on the afforable care act""]]",unveils health plan doubling down on the afforable care act,3,17
283,horror as climber in his 50s plunges to his death while scaling the highest mountain in ireland,fear,"[[""scaling the highest mountain in ireland""]]",scaling the highest mountain in ireland,16,25
2908,missouri could become the first state without an abortion clinic,positive_anticipation_including_optimism,"[[""could become the first state without an abortion clinic""]]",could become the first state without an abortion clinic,4,12
4314,beto slams warren’s ‘mistaken’ call to decriminalize border crossings,anger,"[[""slams warren’s""],[""warren’s""]]",slams warren’s,3,8
2375,‘what a slap in the face’: brigitte gabriel and other legal immigrants drop the hammer on dems pushing open borders,anger,"[[""pushing open borders""]]",pushing open borders,26,28
1646,"democratic voters unfazed by 'inappropriate touching' claims against joe biden, polls show",annoyance,"[[""claims against joe biden, polls show""]]","claims against joe biden, polls show",11,19
1674,house dems get dark money group after introducing bill against dark money,negative_surprise,"[[""dark money""]]",dark money,5,6
59,"indigenous tribe wins legal battle against oil companies, preventing drilling in the rainforest",positive_surprise,"[[""against oil companies, preventing drilling in the rainforest""]]","against oil companies, preventing drilling in the rainforest",6,14
4188,the media is missing the real story of trump’s racism,shame,"[[""story of trump’s racism""]]",story of trump’s racism,7,13
2979,zoe the police dog sniffs out 2 missing girls in ontarioand#039;s algonquin park,positive_surprise,"[[""s algonquin park""]]",s algonquin park,22,26
1620,"before trump criticized the urban poverty he uses to attack democrats, he profited from it",negative_surprise,"[[""criticized the urban poverty he uses to attack democrats, he profited from it""]]","criticized the urban poverty he uses to attack democrats, he profited from it",4,19
2416,"justin amash and rand paul disagree about impeachment, but fight together for federal surveillance reform",disgust,"[[""disagree about impeachment, but fight together for federal surveillance reform""]]","disagree about impeachment, but fight together for federal surveillance reform",10,22
1226,when one person on a date is just there for the free food,positive_surprise,"[[""food""]]",food,13,13
782,"mexican police commander kidnapped, executed by cartel gunmen",negative_surprise,"[[""executed by cartel gunmen""]]",executed by cartel gunmen,8,13
3646,white cop cleared in fatal shooting of black teenager,fear,"[[""fatal shooting of black teenager""]]",fatal shooting of black teenager,5,9
4642,melbourne will be first city outside us to get uber's flying taxis,positive_anticipation_including_optimism,"[[""will be first city outside""],[""outside us to get uber's flying taxis""]]",will be first city outside,4,8
2504,democrats running for president are waking up to the danger of war with iran,fear,"[[""war with iran""]]",war with iran,13,16
3505,‘this is maga country!’: smollett-style graffiti found at jewish cemetery,negative_surprise,"[[""‘this is maga country!’: smollett-style graffiti found at jewish cemetery"",""smollett-style graffiti found at jewish cemetery""]]",‘this is maga country!’: smollett-style graffiti found at jewish cemetery,1,22
779,meet the underground feminist group that provided abortions before “roe”,annoyance,"[[""that provided abortions before “roe”""]]",that provided abortions before “roe”,6,14
3745,newlove says crime victims and their families must be told the real sentences criminals will serve,guilt,"[[""must be told the real sentences criminals will serve""]]",must be told the real sentences criminals will serve,9,17
3421,u.s. military’s new secret weapon: the “flying ginsu”,positive_anticipation_including_optimism,"[[""the “flying ginsu”""]]",the “flying ginsu”,12,18
2086,former iranian minister: iran will not be bullied,negative_surprise,"[[""iran will not be bullied""]]",iran will not be bullied,7,13
2301,leading national security figures avoid briefing trump for fear he’ll leak to russians — report,fear,"[[""he’ll leak to russians""]]",he’ll leak to russians,12,19
1812,atlantic: late-night comedy isn’t funny anymore (it doesn’t even try),sadness,"[[""late-night comedy isn’t funny anymore (it doesn’t even try)""]]",late-night comedy isn’t funny anymore (it doesn’t even try),5,21
1496,poland’s government is systematically silencing opposition voices,fear,"[[""systematically silencing opposition voices""]]",systematically silencing opposition voices,8,13
3517,braised black beans that will make you forget meat,joy,"[[""braised black beans that will make you forget meat""]]",braised black beans that will make you forget meat,1,10
4782,trump feels 'badly' for resigning british pm theresa may,sadness,"[[""resigning british pm theresa may"",""for resigning british pm theresa may""]]",resigning british pm theresa may,8,16
3630,trump slams biden as non-salvageable ‘reclamation project’,negative_surprise,"[[""non-salvageable ‘reclamation project’"",""as non-salvageable ‘reclamation project’""]]",non-salvageable ‘reclamation project’,8,16
850,theresa may tells mps she will resign as pm after brexit,negative_surprise,"[[""she will resign as pm after brexit""]]",she will resign as pm after brexit,7,15
1078,nike pulls shoes featuring betsy ross flag over concerns about racist symbolism,annoyance,"[[""betsy ross flag""]]",betsy ross flag,6,10
1212,u.s. balked at sanctions on sudan,annoyance,"[[""u.s. balked at sanctions on sudan""]]",u.s. balked at sanctions on sudan,1,12
3933,netflix thinks we won’t notice if it just remakes “a quiet place” with different actors and a new title,negative_surprise,"[[""“a quiet place” with different actors and a new title""]]",“a quiet place” with different actors and a new title,15,26
3038,jay-z is officially the first billionaire rapper,positive_surprise,"[[""officially the first billionaire rapper""]]",officially the first billionaire rapper,6,10
877,"university of illinois at chicago missed warning signs of research going awry, letters show",negative_surprise,"[[""university of illinois""]]",university of illinois,1,5
2236,a nature writer for the anthropocene,positive_anticipation_including_optimism,"[[""for the anthropocene""]]",for the anthropocene,4,9
4337,"moore is done with cnn, says it gave him the political equivalent of 'salmonella'",annoyance,"[[""says it gave him the political equivalent of 'salmonella'""]]",says it gave him the political equivalent of 'salmonella',10,21
2265,dallas police up charges against white bartender who brutally beat black woman,anger,"[[""who brutally beat black woman""]]",who brutally beat black woman,9,13
3279,advance notice of ice raids may push immigrants toward unauthorized legal help,negative_anticipation_including_pessimism,"[[""immigrants toward unauthorized legal help""]]",immigrants toward unauthorized legal help,8,15
1165,the strange fun of ‘under a rock with tig notaro’,annoyance,"[[""the strange fun of ‘under a rock""]]",the strange fun of ‘under a rock,1,8
3804,what jeremy hunt said on abortion,negative_surprise,"[[""what jeremy hunt said on abortion"",""said on abortion""]]",what jeremy hunt said on abortion,1,8
2882,theresa may hints at one last go for her brexit deal but uk could face third election in four years,fear,"[[""last go for her brexit deal but uk could face third election in four years""]]",last go for her brexit deal but uk could face third election in four years,7,23
4309,a political scientist defends white identity politics,pride,"[[""white identity politics""]]",white identity politics,6,8
2660,texas rep. will hurd announces retirement,guilt,"[[""announces retirement""]]",announces retirement,11,12
1097,"pilot died in military jet crash near death valley's 'star wars canyon,' navy confirms",sadness,"[[""military jet crash near death""]]",military jet crash near death,4,8
736,hypocritical new york times mocks trump summit of ‘right-wing social media trolls’,annoyance,"[[""right-wing social media trolls""]]",right-wing social media trolls,18,24
292,i’ve spent decades talking to parents about vaccines. it’s time for a change.,positive_surprise,"[[""talking to parents about vaccines. it’s time for a change.""]]",talking to parents about vaccines. it’s time for a change.,6,20
1565,two active-duty us marines face “alien smuggling” charges at the border,negative_surprise,"[[""us marines face “alien smuggling” charges at the border""]]",us marines face “alien smuggling” charges at the border,5,16
2815,like omg marx is so fetch! dana loesch has like the perfect take on teen vogue’s puff piece on karl marx and lol,love_including_like,"[[""has like the perfect take on teen vogue’s puff piece on karl marx and lol""]]",has like the perfect take on teen vogue’s puff piece on karl marx and lol,17,39
4876,rep. steve king slammed as 'white supremacist' for remarks about katrina victims,annoyance,"[[""slammed as 'white supremacist' for remarks about katrina victims"",""for remarks about katrina victims""]]",slammed as 'white supremacist' for remarks about katrina victims,8,24
2362,trump’s tariffs are a new tax on americans,negative_surprise,"[[""tariffs are a new tax on americans"",""are a new tax on americans""]]",tariffs are a new tax on americans,5,15
1315,this belgian nurse watched euthanasia turn pain management into a death prescription,sadness,"[[""turn pain management into a death prescription""]]",turn pain management into a death prescription,12,18
2283,governor’s veto means hawaiians will continue suffering property rights violations,negative_anticipation_including_pessimism,"[[""will continue suffering property rights violations""]]",will continue suffering property rights violations,9,14
1413,federal judge upholds trump short-term health plan expansion,trust,"[[""short-term health plan expansion""]]",short-term health plan expansion,8,13
799,o’rourke dodges on whether pro-lifers are welcomed in the dem party,negative_surprise,"[[""welcomed in the dem party""]]",welcomed in the dem party,15,19
1774,the boundaries between politics and stand-up comedy are crumbling,negative_anticipation_including_pessimism,"[[""the boundaries between politics and stand-up comedy are crumbling""]]",the boundaries between politics and stand-up comedy are crumbling,1,12
599,nolte: cnn invents dangerous conspiracy theory about trump refusing to leave presidency,disgust,"[[""theory about trump refusing to leave presidency""]]",theory about trump refusing to leave presidency,12,19
4385,"2 years after grenfell, experts warn of high-rise fire risk",negative_anticipation_including_pessimism,"[[""experts warn of high-rise fire risk""]]",experts warn of high-rise fire risk,8,15
3776,tech companies can now be fined $1 million for spreading fake news in singapore,fear,"[[""for spreading fake news in singapore""]]",for spreading fake news in singapore,10,17
1741,rep. rashida tlaib grasps at 'concentration camps' moment as abc's raddatz crushes her over border funding vote,shame,"[[""grasps at 'concentration camps'""]]",grasps at 'concentration camps',10,16
2910,"shaping humanity with music, merlinmoon announces his sophomore album 'younity' (bangybang records)",positive_anticipation_including_optimism,"[[""his sophomore album 'younity' (bangybang records)""]]",his sophomore album 'younity' (bangybang records),11,23
2511,elections in the world’s largest democracy are being boycotted in one embattled province,fear,"[[""largest democracy are being boycotted in one embattled province"",""are being boycotted in one embattled province""]]",largest democracy are being boycotted in one embattled province,7,18
2374,‘trump baby’ blimp takes flight as president returns to ireland,positive_anticipation_including_optimism,"[[""president returns to ireland""]]",president returns to ireland,12,17
2282,"german minister wants to fine anti-vax parents up to $2,800, mandate compulsory shots",anger,"[[""anti-vax parents""]]",anti-vax parents,7,11
1767,the european left needs a vision of the future,positive_anticipation_including_optimism,"[[""needs a vision of the future""]]",needs a vision of the future,6,11
1498,president trump claimed he revoked john brennan's security clearance — but he never did,annoyance,"[[""security clearance — but he never did""]]",security clearance — but he never did,15,21
4700,the internet is in agreement. tormund is the mood-lightening mvp of game of thrones,positive_surprise,"[[""tormund is the mood-lightening mvp of game of thrones""]]",tormund is the mood-lightening mvp of game of thrones,7,23
3215,sanders and omar’s plan would wipe out every outstanding student loan,negative_surprise,"[[""plan would wipe out every outstanding student loan""]]",plan would wipe out every outstanding student loan,8,15
3617,the obscene difficulty of depriving a troubled white man of a gun,fear,"[[""white man of a gun""]]",white man of a gun,13,17
3999,mom charges cougar and pries its jaws open to save son,disgust,"[[""jaws open to save son""]]",jaws open to save son,10,14
826,"senate passes $4.5 billion border bill, setting up fight with house",annoyance,"[[""setting up fight with house""]]",setting up fight with house,11,15
4723,"1,600 hotel guests in south korea were secretly livestreamed on the internet",disgust,"[[""1,600 hotel guests in south korea were secretly livestreamed on the internet""]]","1,600 hotel guests in south korea were secretly livestreamed on the internet",1,18
2701,most americans don’t support higher defense spending,annoyance,"[[""don’t support higher defense spending"",""higher defense spending""]]",don’t support higher defense spending,5,11
1677,indonesians fight for their right to not vote,anger,"[[""fight for their right to not vote""]]",fight for their right to not vote,5,11
3672,blue state dems push to expand salt tax break,negative_surprise,"[[""push to expand salt tax break""]]",push to expand salt tax break,5,10
3857,much of notre dame cathedral's structure and artifacts miraculously survive the destructive fire,positive_surprise,"[[""survive the destructive fire""]]",survive the destructive fire,16,19
121,republican rebellion over mexico tariffs overshadows trump’s european visit,negative_surprise,"[[""overshadows trump’s european visit""]]",overshadows trump’s european visit,10,20
3833,black widow and captain marvel hitting the red carpet wearing infinity stones is a superpower,positive_surprise,"[[""hitting the red carpet wearing infinity stones is a superpower""]]",hitting the red carpet wearing infinity stones is a superpower,8,19
3077,holocaust survivor eva kor dies at age 85,sadness,"[[""holocaust survivor eva kor dies""]]",holocaust survivor eva kor dies,1,10
3327,gop chairman eyes former bush official for new cbo director,negative_surprise,"[[""gop chairman eyes former bush official for new cbo director""]]",gop chairman eyes former bush official for new cbo director,1,12
4871,new report finds same-day voter registration laws produce a sizable boost in voter turnout,positive_surprise,"[[""boost""]]",boost,14,14
4156,voting rights: census bureau puts out new estimate of cost of citizenship question,positive_surprise,"[[""census bureau puts out new estimate"",""census bureau puts out new estimate of cost of citizenship question""]]",census bureau puts out new estimate,4,9
3438,yet another former obama official warns border in ‘tremendous crisis’,negative_anticipation_including_pessimism,"[[""warns border in ‘tremendous crisis’""]]",warns border in ‘tremendous crisis’,8,14
4008,10-year-old girl died from excitement while halfway down a 270-foot water slide,sadness,"[[""died from excitement""]]",died from excitement,7,9
3781,the ways black gay men ‘act straight’ to survive festival season,positive_surprise,"[[""the ways black gay men ‘act straight’ to survive festival season""]]",the ways black gay men ‘act straight’ to survive festival season,1,13
2957,police officer talks suicidal man off bridge by offering a hug,positive_surprise,"[[""offering a hug""]]",offering a hug,10,12
3725,"june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl",trust,"[[""june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl""]]","june wti oil gains $1.48, or 2.35, to settle at $65.55/bbl",1,27
1085,"on the border, volunteer doctors struggle to provide stopgap care to immigrants",annoyance,"[[""struggle to provide stopgap care to immigrants""]]",struggle to provide stopgap care to immigrants,7,15
362,‘they would get killed’: the weather forecast that saved apollo 11,negative_surprise,"[[""the weather forecast that saved apollo 11""]]",the weather forecast that saved apollo 11,8,16
1757,supreme court justice beer will be teaching a summer course in england. won't that be fun.,negative_surprise,"[[""will be teaching a summer course in england. won't that be fun.""]]",will be teaching a summer course in england. won't that be fun.,5,22
3826,alex rodriguez is accused of cheating on jennifer lopez again by sexting a british playboy model,shame,"[[""sexting a british playboy model""]]",sexting a british playboy model,21,29
2991,heroic 20-year-old rushed back into fire to save niece,positive_surprise,"[[""20-year-old rushed back into fire to save niece""]]",20-year-old rushed back into fire to save niece,2,13
3821,"'pharma bro' martin shkreli loses appeal, will stay in prison",negative_surprise,"[[""'pharma bro' martin shkreli loses appeal, will stay in prison"",""martin shkreli loses appeal, will stay in prison""]]","'pharma bro' martin shkreli loses appeal, will stay in prison",1,22
423,el salvador rape victim jailed for murder after stillbirth faces retrial,guilt,"[[""jailed for murder after stillbirth faces retrial""]]",jailed for murder after stillbirth faces retrial,8,17
525,the mueller report was just released. read it here.,negative_surprise,"[[""was just released. read it here.""]]",was just released. read it here.,6,13
1976,europe is losing patience with china. here's why,annoyance,"[[""losing patience with china""]]",losing patience with china,4,8
3814,‘a predator’s playground’: the dark side of finding love online,love_including_like,"[[""the dark side of finding love online""]]",the dark side of finding love online,9,15
2228,"charges dropped for u. of arizona students who called border patrol ""murder patrol"" at campus event",anger,"[[""border patrol""]]",border patrol,13,14
199,what western media got wrong about china’s blockbuster ‘the wandering earth’,negative_surprise,"[[""blockbuster""],[""‘the wandering earth’""]]",blockbuster,11,12
1729,o’rourke blasted for not endorsing texas democratic candidate,disgust,"[[""not endorsing texas democratic candidate"",""for not endorsing texas democratic candidate""]]",not endorsing texas democratic candidate,8,16
3181,more americans say jews face discrimination in the united states,disgust,"[[""the united""]]",the united,11,12
2931,firm fined $3.3m for worst california oil spill in 25 years,negative_surprise,"[[""california oil spill in 25 years""]]",california oil spill in 25 years,10,19
1489,nobody should be placed in solitary confinement—not even paul manafort,fear,"[[""nobody should be placed in solitary confinement—not even paul manafort""]]",nobody should be placed in solitary confinement—not even paul manafort,1,15
3127,column of the day: the scandalous us defense budget,disgust,"[[""us defense budget""]]",us defense budget,9,11
2224,‘i’ve been through some painful experiences’ – sheryl crow on #metoo and michael jackson,sadness,"[[""been through some painful experiences""]]",been through some painful experiences,5,9
1904,rod rosenstein just made a huge mistake in his resignation letter,negative_anticipation_including_pessimism,"[[""huge mistake in his resignation letter""]]",huge mistake in his resignation letter,7,12
4654,"believe it or not, the british pound is one of world’s best-performing major currencies this year",positive_surprise,"[[""currencies this year""]]",currencies this year,21,25
773,"live in the ‘here and now,’ even in traffic court, says rep. ben cline",joy,"[[""live in the ‘here and now,’ even in traffic court""]]","live in the ‘here and now,’ even in traffic court",1,13
4664,elizabeth warren’s trillion-dollar big business tax plan would cost amazon $698m+ every year,positive_surprise,"[[""cost amazon $698m+ every year""]]",cost amazon $698m+ every year,16,26
4687,people are picking up trash for a new internet challenge,positive_surprise,"[[""a new internet challenge""]]",a new internet challenge,7,10
3353,media thrilled by baltimore sun slamming ‘vermin’ trump: ‘one for the history books’,joy,"[[""baltimore sun slamming ‘vermin’ trump: ‘one for the history books’""]]",baltimore sun slamming ‘vermin’ trump: ‘one for the history books’,4,24
2659,sweden could reopen rape investigation of julian assange; u.k. urged to prioritize swedish case over extradition to u.s.,guilt,"[[""could reopen rape investigation of julian assange"",""u.k. urged to prioritize swedish case over extradition to u.s.""]]",could reopen rape investigation of julian assange,4,16
2018,letters: maybe dan fagan should read hemingway and thoreau,positive_anticipation_including_optimism,"[[""maybe dan fagan should read hemingway and thoreau""]]",maybe dan fagan should read hemingway and thoreau,3,16
3874,saudi arabia says two oil tankers attacked near uae,negative_surprise,"[[""two oil tankers attacked near uae""]]",two oil tankers attacked near uae,7,14
2716,"‘drag kids’ attract pedophiles, which is no surprise",negative_surprise,"[[""attract pedophiles""]]",attract pedophiles,5,10
492,phrma is funding a democratic think tank trying to derail medicare for all,negative_surprise,"[[""think tank trying to derail medicare for all""]]",think tank trying to derail medicare for all,8,18
2436,"this week in brexit: theresa may can’t stop, won’t stop",annoyance,"[[""this week in brexit""]]",this week in brexit,1,6
430,florida man killed by world’s most dangerous bird,sadness,"[[""world’s most dangerous bird""]]",world’s most dangerous bird,7,12
1637,"chicago in a single tweet, and news from elections around the state",positive_anticipation_including_optimism,"[[""news from elections around the state""]]",news from elections around the state,11,16
1254,chris plante: 'cnn is part of the democratic party's apparatus',annoyance,"[[""cnn is part of the democratic party's apparatus""]]",cnn is part of the democratic party's apparatus,7,17
507,saudi diplomat rejects activist's allegation he's a target,disgust,"[[""activist's allegation he's a target""]]",activist's allegation he's a target,5,14
405,burning russian plane makes emergency landing,fear,"[[""makes emergency landing""]]",makes emergency landing,6,8
1160,the latest: us jury finds ex-priest guilty of sex abuse,guilt,"[[""us jury finds ex-priest guilty of sex abuse""]]",us jury finds ex-priest guilty of sex abuse,4,13
3851,lawsuit seeks class action status for students whose due process rights were violated during title ix investigations,negative_surprise,"[[""violated during title ix investigations""]]",violated during title ix investigations,13,18
2347,the revolution comes for creepy uncle joe,fear,"[[""comes for creepy uncle""],[""creepy uncle joe""]]",comes for creepy uncle,3,6
4822,trudeau ejects whistle-blowing mps from liberal caucus,anger,"[[""from liberal caucus""]]",from liberal caucus,11,13
4023,an american woman was killed in a bahamas shark attack while snorkeling with her family,sadness,"[[""killed in a bahamas shark attack while snorkeling with her family""]]",killed in a bahamas shark attack while snorkeling with her family,7,23
4521,"baltimore writer d. watkins: ""we speak for ourselves: a word from forgotten black america""",sadness,"[[""a word from forgotten black america""]]",a word from forgotten black america,18,25
4606,the latest balkans breakdown is none of washington’s business,negative_surprise,"[[""none of washington’s business""]]",none of washington’s business,8,14
144,tac bookshelf for the week of july 22,negative_surprise,"[[""tac bookshelf for the week of july 22""]]",tac bookshelf for the week of july 22,1,13
475,mississippi sued for awful 'veggie burger' ban,sadness,"[[""'veggie burger' ban""]]",'veggie burger' ban,8,15
2635,immigration officials use secretive gang databases to deny migrant asylum claims,guilt,"[[""use secretive gang databases to deny migrant asylum claims""]]",use secretive gang databases to deny migrant asylum claims,3,12
4828,south carolina republican endorses qanon: ‘they’re legit’,trust,"[[""they’re legit""]]",they’re legit,14,18
4577,manafort tells hannity in text exchange that he would have to “make sh*t up” on trump and kushner for mueller to cut him a deal,disgust,"[[""for mueller to cut him a deal""]]",for mueller to cut him a deal,31,39
3964,america!: animal influencers of the nineteen-twenties,positive_surprise,"[[""the nineteen-twenties""]]",the nineteen-twenties,10,13
298,let trump have his birthday party for america,joy,"[[""birthday party for america""]]",birthday party for america,6,11
243,a circus in germany is using holograms instead of animals to stop mistreatment,pride,"[[""instead of animals to stop mistreatment""]]",instead of animals to stop mistreatment,12,19
2884,this delta flight was piloted by a mother and daughter flight crew,positive_anticipation_including_optimism,"[[""this delta flight was piloted by a mother and daughter flight crew""]]",this delta flight was piloted by a mother and daughter flight crew,1,13
1279,lebanon is sick and tired of syrian refugees,sadness,"[[""refugees""]]",refugees,11,11
4036,"boxing legend pernell 'sweet pea' whitaker, 55, fatally hit by pickup in virginia",sadness,"[[""fatally hit by pickup in virginia""]]",fatally hit by pickup in virginia,16,23
1864,joe biden wants to bring high-speed rail to california -- again,positive_surprise,"[[""bring high-speed rail to california -- again""]]",bring high-speed rail to california -- again,7,20
4048,dejaun davis-correia & ben jealous on billionaire's pledge to pay debt of morehouse graduating class,disgust,"[[""morehouse graduating class""]]",morehouse graduating class,22,25
2006,bust of king tut that egypt says was stolen sells for $6 million at christie’s in london,anger,"[[""sells for $6 million at christie’s in london""]]",sells for $6 million at christie’s in london,13,26
212,climate change is finally getting the attention it deserved 20 years ago,positive_anticipation_including_optimism,"[[""climate change is finally getting the attention it deserved 20 years ago""]]",climate change is finally getting the attention it deserved 20 years ago,1,12
1838,drew brees nominated for 2 espy awards,joy,"[[""nominated for 2 espy awards""]]",nominated for 2 espy awards,4,9
1714,navy seal pleads guilty in case of strangled green beret,guilt,"[[""pleads guilty in case of strangled green beret""]]",pleads guilty in case of strangled green beret,3,12
2319,nolte - msnbc host: we're not going to 'play fair' to put trump in jail,anger,"[[""we're not going to 'play fair' to put trump in jail""]]",we're not going to 'play fair' to put trump in jail,12,27
2823,may wti oil contract ends about 0.4% higher for the week,positive_anticipation_including_optimism,"[[""0.4% higher for the week""]]",0.4% higher for the week,8,15
2797,ice begins nationwide raids on undocumented immigrants,negative_surprise,"[[""begins nationwide raids on undocumented immigrants""]]",begins nationwide raids on undocumented immigrants,2,10
511,sri lanka blames easter bombings on local jihadis,guilt,"[[""easter bombings""]]",easter bombings,7,9
794,north korean official reportedly purged seen back in public alongside kim jong un,annoyance,"[[""seen back in public alongside kim jong un""]]",seen back in public alongside kim jong un,10,19
1684,jeffrey epstein is denied bail in sex trafficking case,guilt,"[[""denied bail in sex trafficking case""]]",denied bail in sex trafficking case,8,13
2461,five suspected gang members charged after they 'stabbed and carjacked a pregnant school teacher',disgust,"[[""stabbed and carjacked a pregnant school teacher""]]",stabbed and carjacked a pregnant school teacher,9,17
326,"setting precedent, a federal court rules jail must give inmate addiction treatment",annoyance,"[[""jail must give inmate addiction treatment""]]",jail must give inmate addiction treatment,8,14
185,"trump admin stole at least 18 babies as young as 4 months from migrant families, house report says",guilt,"[[""migrant families, house report says""],[""months from migrant families, house report""]]","migrant families, house report says",16,21
4547,don’t let beto o’rourke kill medicare for all,negative_surprise,"[[""o’rourke kill medicare for all"",""don’t let beto o’rourke kill medicare for all""]]",o’rourke kill medicare for all,7,17
1883,"mom skips her own graduation to attend her sonand#039;s, gets recognized too",love_including_like,"[[""s, gets recognized too"",""skips her own graduation to attend her sonand#039""]]","s, gets recognized too",16,20
149,the david & sharon johnston centre for corporate governance innovation established at the university of toronto's rotman school of management,positive_anticipation_including_optimism,"[[""university of toronto's rotman school of management""]]",university of toronto's rotman school of management,20,31
3793,trump official blames migrant father for drowning with daughter,guilt,"[[""for drowning with daughter""]]",for drowning with daughter,8,11
2141,thousands mourn bosnian government critic slain in ambush,sadness,"[[""bosnian government critic slain in ambush"",""slain in ambush""]]",bosnian government critic slain in ambush,5,12
3644,what we know about gilroy garlic festival shooting suspect santino william legan,negative_surprise,"[[""shooting suspect""]]",shooting suspect,10,11
1967,burberry to close one in 10 stores worldwide,negative_surprise,"[[""close one in 10 stores worldwide""]]",close one in 10 stores worldwide,5,10
4052,"earthquake: 4.5 quake near ridgecrest, calif.",sadness,"[[""4.5 quake near ridgecrest, calif.""]]","4.5 quake near ridgecrest, calif.",3,17
2064,'thank you': queen honors d-day veterans at moving ceremony,joy,"[[""honors d-day veterans at moving ceremony""]]",honors d-day veterans at moving ceremony,7,14
1718,no wonder sarah huckabee sanders cut and ran,sadness,"[[""sanders cut and ran""]]",sanders cut and ran,9,13
1758,suspected spies in iran could be facing death penalty: report,fear,"[[""facing death""]]",facing death,8,9
1972,daniel hoffman: i'm an ex-cia officer. i've been in global hotspots and know challenges. then this happened,sadness,"[[""i've been in global hotspots and know challenges. then this happened""]]",i've been in global hotspots and know challenges. then this happened,18,33
2867,the crux of the accusations against david sirota from the atlantic’s edward-isaac dovere is false,negative_surprise,"[[""atlantic’s edward-isaac dovere is false""]]",atlantic’s edward-isaac dovere is false,15,29
106,oh noez! alyssa milano just totally doomed amy mcgrath’s entire campaign and all it took was one word,negative_surprise,"[[""campaign""]]",campaign,22,22
4261,"priest stole more than $95,000 from offerings in northern california, diocese says",guilt,"[[""offerings in northern""],[""more than $95,000 from offerings in northern""],[""offerings in northern california""],[""stole more than $95,000 from offerings in northern""]]",offerings in northern,10,12
2688,five beached whales in florida saved by strangers,joy,"[[""saved by strangers""]]",saved by strangers,9,11
4698,texas governor announces $1.6b deal for teacher raises,positive_surprise,"[[""announces $1.6b deal for teacher raises""]]",announces $1.6b deal for teacher raises,5,14
3367,officials report 'multiple patients' after explosion at florida shopping center,negative_surprise,"[[""explosion at florida shopping center""]]",explosion at florida shopping center,8,14
1938,‘woke’ bank of america ends business with companies that run illegal immigrant children holding centers,negative_anticipation_including_pessimism,"[[""ends business with companies that run illegal immigrant children holding centers""]]",ends business with companies that run illegal immigrant children holding centers,9,19
3525,creative father stops his baby's crying by pretending the child's car seat is turning into a robot,love_including_like,"[[""pretending the child's car seat is turning into a robot""]]",pretending the child's car seat is turning into a robot,10,21
96,mueller punted big questions to a congress ill-equipped to deal with them,negative_surprise,"[[""punted big questions to a congress ill-equipped to deal with them""]]",punted big questions to a congress ill-equipped to deal with them,4,17
2096,more trump miracles! latest data shows job openings and new hires reached historic all-time highs in 2018!,positive_surprise,"[[""job openings and new hires reached historic all-time highs in 2018""]]",job openings and new hires reached historic all-time highs in 2018,9,23
